Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
200286,54360.0,240000.0,0.2265,Single Family
141513,64170.0,37400.0,1.715775401,Single Family
70061,74900.0,121000.0,0.619008264,Condo
14239,174100.0,289000.0,0.602422145,Single Family
160404,161000.0,120000.0,1.341666667,Single Family
172874,168840.0,330000.0,0.5116,Single Family
160015,44240.0,74000.0,0.597837838,Condo
60074,100100.0,90000.0,1.112222222,Single Family
120244,1157380.0,1100000.0,1.052163636,Single Family
70022,63630.0,120000.0,0.53025,Condo
191331,95570.0,152500.0,0.6267,Single Family
180443,225300.0,389000.0,0.5791,Condo
18428,435850.0,580000.0,0.7514,Single Family
2020386,1080170.0,1692500.0,0.6382,Single Family
60580,78480.0,161000.0,0.487453416,Single Family
120037,250400.0,299900.0,0.834944982,Single Family
100015,178100.0,250000.0,0.7124,Single Family
1900224,243740.0,313386.06,0.7778,Single Family
180148,177800.0,358750.0,0.495609756,Condo
90220,231460.0,302500.0,0.765157025,Condo
200179,158100.0,411000.0,0.384671533,Four Family
10057,245420.0,347000.0,0.707262248,Single Family
900279,159670.0,185393.0,0.861251504,Single Family
122030,164920.0,245000.0,0.673142857,Single Family
800240,83860.0,77000.0,1.089090909,Condo
110141,213000.0,300000.0,0.71,Single Family
140074,178710.0,290000.0,0.616241379,Condo
180016,73850.0,127000.0,0.5814,Single Family
140245,109490.0,150750.0,0.726301824,Single Family
2001328,126020.0,190000.0,0.6632,Condo
150397,182700.0,235000.0,0.777446809,Single Family
150322,154680.0,230500.0,0.671062907,Single Family
160896,72460.0,140000.0,0.517571429,Condo
900012,248540.0,320000.0,0.7766875,Single Family
70063,266290.0,369000.0,0.721653117,Single Family
900304,190000.0,317500.0,0.598425197,Condo
161040,136850.0,246000.0,0.556300813,Single Family
90134,215870.0,130000.0,1.660538462,Single Family
19516,50575.0,149900.0,0.3374,Two Family
110323,101710.0,123000.0,0.826910569,Two Family
170572,128450.0,213000.0,0.603,Single Family
130970,2190160.0,4375000.0,0.500608,Single Family
70408,59850.0,399900.0,0.149662416,Single Family
200150,169050.0,285000.0,0.593157895,Single Family
18174,232400.0,345000.0,0.6736,Single Family
110688,569790.0,703000.0,0.810512091,Single Family
130145,650230.0,1589000.0,0.409207048,Single Family
90055,96460.0,145000.0,0.665241379,Single Family
190014,178600.0,215000.0,0.8307,Single Family
